Name:	erying_viscosity_coefficients			
Description:	ao, a1,bo,b1 parameters for the viscosity equation presented in Vasquez-Castillo (2013)			
Unit:	None			
Reference:	Vasquez-Castillo, G.; Iglesias-Silva, G. A.; Hall, K. R. An extension of the McAllister model to correlate kinematic viscosity of electrolyte solutions. Fluid Phase Equilib. 2013, 358, 44-49.			
Temperature:				
Pressure:				
Ionic Strength:				
Uncertainty:				
Uncertainty Type:				
Comment:	(ao,a1,bo,b1)			
				
Key:	ao	a1	bo	b1
KBr	472.872	-18.413	-2.8192	0.38256
KCl	267.401	-13.852	-2.0463	0.35278
KI	318.139	-10.847	-2.8577	0.40268
NaBr	361.081	-13.888	-0.0425	0.19641
NaCl	374.626	-16.229	0.56609	0.15215
NaI	401.019	-15.841	-0.4286	0.2268
