Name	diffusion_coefficient
Description	Diffusion Coefficient
Unit	cm ** 2 / s
Reference	CRC Handbook of Chemistry and Physics, 92nd Ed., pp. 5-77 to 5-79
Temperature	25 degC
Pressure	1 atm
Ionic Strength	0
Uncertainty	
Uncertainty Type	
Comment	For most ions, increases 2-3% per degree above 25C
	
Key	Value
Ag+	0.00001648
Al+3	0.00000541
Ba+2	0.00000847
Be+2	0.00000599
Ca+2	0.00000792
Cd+2	0.00000719
Ce+3	0.0000062
Co+2	0.00000732
Cr+3	0.00000595
Cs+	0.00002056
Cu+	0.00000714
Dy+3	0.00000582
Er+3	0.00000585
Eu+3	0.00000602
Fe+2	0.00000719
Fe+3	0.00000604
Gd+3	0.00000597
H+	0.00009311
Hg+2	0.00000847
Ho+3	0.00000589
K+	0.00001957
La+3	0.00000619
Li+	0.00001029
Mg+2	0.00000706
Mn+2	0.00000712
NH4+	0.00001957
N2H5+	0.00001571
Na+	0.00001334
Nd+3	0.00000616
Ni+2	0.00000661
Pb+2	0.00000945
Pr+3	0.00000617
Ra+2	0.00000889
Rb+	0.00002072
Sc+3	0.00000574
Sm+3	0.00000608
Sr+2	0.00000791
Tl+	0.00001989
Tm+3	0.00000581
UO2+2	0.00000426
Y+3	0.0000055
Yb+3	0.00000582
Zn+2	0.00000703
Au(CN)2-	0.00001331
Au(CN)4-	0.00000959
B(C6H5)4-	0.00000559
Br-	0.0000208
Br3-	0.00001145
BrO3-	0.00001483
CN-	0.00002077
CNO-	0.0000172
CO3-2	0.00000923
Cl-	0.00002032
CLO2-	0.00001385
CLO3-	0.0000172
CLO4-	0.00001792
Co(CN)6-3	0.00000878
CrO4-2	0.00001132
F-	0.00001475
Fe(CN)6-4	0.00000735
Fe(CN)6-3	0.00000896
H2ASO4-	0.00000905
HCO3-	0.00001185
HF2-	0.00001997
HPO4-2	0.00000759
H2PO4-	0.00000959
H2PO2-	0.00001225
HS-	0.00001731
HSO3-	0.00001545
HSO4-	0.00001385
H2SbO4-	0.00000825
I-	0.00002045
IO3-	0.00001078
IO4-	0.00001451
MnO4-	0.00001632
MoO4-2	0.00001984
N(CN)2-	0.00001451
NO2-	0.00001912
NO3-	0.00001902
NH2SO3-	0.00001286
N3-	0.00001837
OCN-	0.0000172
OH-	0.00005273
PF6-	0.00001515
PO3F-2	0.00000843
PO4-3	0.00000824
P2O7-4	0.00000639
P3O9-3	0.00000742
P3O10-5	0.00000581
ReO4-	0.00001462
SCN-	0.00001758
SO3-2	0.00000959
SO4-2	0.00001065
S2O3-2	0.00001132
S2O4-2	0.00000885
S2O6-2	0.00001238
S2O8-2	0.00001145
Sb(OH)6-	0.00000849
SeCN-	0.00001723
SeO4-	0.00001008
WO4-2	0.00000919
HCO2-	0.00001454
CH3COO-	0.00001089
C6H5O7-3	0.00000623
